name,price,rating,image
Chase Me (Paris Nights #2),Â£25.27,Five,data/raw/images/chase_me_(paris_nights_#2).png
Black Dust,Â£34.53,Five,data/raw/images/black_dust.png
Birdsong: A Story in Pictures,Â£54.64,Three,data/raw/images/birdsong_a_story_in_pictures.png
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,Three,data/raw/images/america's_cradle_of_quarterbacks_western_pennsylv.png
Aladdin and His Wonderful Lamp,Â£53.13,Three,data/raw/images/aladdin_and_his_wonderful_lamp.png
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Five,data/raw/images/worlds_elsewhere_journeys_around_shakespeareâs_.png
Wall and Piece,Â£44.18,Four,data/raw/images/wall_and_piece.png
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,Five,data/raw/images/the_four_agreements_a_practical_guide_to_personal.png
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,Three,data/raw/images/the_five_love_languages_how_to_express_heartfelt_.png
The Elephant Tree,Â£23.82,Five,data/raw/images/the_elephant_tree.png
The Bear and the Piano,Â£36.89,One,data/raw/images/the_bear_and_the_piano.png
Sophie's World,Â£15.94,Five,data/raw/images/sophie's_world.png
Penny Maybe,Â£33.29,Three,data/raw/images/penny_maybe.png
Maude (1883-1993):She Grew Up with the country,Â£18.02,Two,data/raw/images/maude_(1883-1993)she_grew_up_with_the_country.png
"In a Dark, Dark Wood",Â£19.63,One,"data/raw/images/in_a_dark,_dark_wood.png"
Behind Closed Doors,Â£52.22,Four,data/raw/images/behind_closed_doors.png
You can't bury them all: Poems,Â£33.63,Two,data/raw/images/you_can't_bury_them_all_poems.png
Slow States of Collapse: Poems,Â£57.31,Three,data/raw/images/slow_states_of_collapse_poems.png
Reasons to Stay Alive,Â£26.41,Two,data/raw/images/reasons_to_stay_alive.png
Private Paris (Private #10),Â£47.61,Five,data/raw/images/private_paris_(private_#10).png
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,Five,data/raw/images/#higherselfie_wake_up_your_life._free_your_soul._.png
Without Borders (Wanderlove #1),Â£45.07,Two,data/raw/images/without_borders_(wanderlove_#1).png
When We Collided,Â£31.77,One,data/raw/images/when_we_collided.png
"We Love You, Charlie Freeman",Â£50.27,Five,"data/raw/images/we_love_you,_charlie_freeman.png"
Untitled Collection: Sabbath Poems 2014,Â£14.27,Four,data/raw/images/untitled_collection_sabbath_poems_2014.png
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,Four,"data/raw/images/unseen_city_the_majesty_of_pigeons,_the_discreet_.png"
Unicorn Tracks,Â£18.78,Three,data/raw/images/unicorn_tracks.png
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,One,"data/raw/images/unbound_how_eight_technologies_made_us_human,_tra.png"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,One,data/raw/images/tsubasa_world_chronicle_2_(tsubasa_world_chronicl.png
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,Three,data/raw/images/throwing_rocks_at_the_google_bus_how_growth_becam.png
This One Summer,Â£19.49,Four,data/raw/images/this_one_summer.png
Thirst,Â£17.27,Five,data/raw/images/thirst.png
The Torch Is Passed: A Harding Family Story,Â£19.09,One,data/raw/images/the_torch_is_passed_a_harding_family_story.png
The Secret of Dreadwillow Carse,Â£56.13,One,data/raw/images/the_secret_of_dreadwillow_carse.png
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,One,data/raw/images/the_pioneer_woman_cooks_dinnertime_comfort_class.png
The Past Never Ends,Â£56.50,Four,data/raw/images/the_past_never_ends.png
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,Three,data/raw/images/the_natural_history_of_us_(the_fine_art_of_pretend.png
