name,price,rating,image
Birdsong: A Story in Pictures,54.64,3,data/raw/images/3_star/birdsong_a_story_in_pictures.png
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,data/raw/images/3_star/america's_cradle_of_quarterbacks_western_pennsylv.png
Aladdin and His Wonderful Lamp,53.13,3,data/raw/images/3_star/aladdin_and_his_wonderful_lamp.png
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,data/raw/images/3_star/the_five_love_languages_how_to_express_heartfelt_.png
Penny Maybe,33.29,3,data/raw/images/3_star/penny_maybe.png
Slow States of Collapse: Poems,57.31,3,data/raw/images/3_star/slow_states_of_collapse_poems.png
Unicorn Tracks,18.78,3,data/raw/images/3_star/unicorn_tracks.png
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,data/raw/images/3_star/throwing_rocks_at_the_google_bus_how_growth_becam.png
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,data/raw/images/3_star/the_natural_history_of_us_(the_fine_art_of_pretend.png
Sharp Objects,47.82,4,data/raw/images/4_star/sharp_objects.png
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,data/raw/images/4_star/the_dirty_little_secrets_of_getting_your_dream_job.png
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,data/raw/images/4_star/the_boys_in_the_boat_nine_americans_and_their_epi.png
Shakespeare's Sonnets,20.66,4,data/raw/images/4_star/shakespeare's_sonnets.png
Wall and Piece,44.18,4,data/raw/images/4_star/wall_and_piece.png
Behind Closed Doors,52.22,4,data/raw/images/4_star/behind_closed_doors.png
Untitled Collection: Sabbath Poems 2014,14.27,4,data/raw/images/4_star/untitled_collection_sabbath_poems_2014.png
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,"data/raw/images/4_star/unseen_city_the_majesty_of_pigeons,_the_discreet_.png"
This One Summer,19.49,4,data/raw/images/4_star/this_one_summer.png
The Past Never Ends,56.5,4,data/raw/images/4_star/the_past_never_ends.png
Sapiens: A Brief History of Humankind,54.23,5,data/raw/images/5_star/sapiens_a_brief_history_of_humankind.png
Set Me Free,17.46,5,data/raw/images/5_star/set_me_free.png
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,data/raw/images/5_star/scott_pilgrim's_precious_little_life_(scott_pilgri.png
Rip it Up and Start Again,35.02,5,data/raw/images/5_star/rip_it_up_and_start_again.png
Chase Me (Paris Nights #2),25.27,5,data/raw/images/5_star/chase_me_(paris_nights_#2).png
Black Dust,34.53,5,data/raw/images/5_star/black_dust.png
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,data/raw/images/5_star/worlds_elsewhere_journeys_around_shakespeareâs_.png
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,data/raw/images/5_star/the_four_agreements_a_practical_guide_to_personal.png
The Elephant Tree,23.82,5,data/raw/images/5_star/the_elephant_tree.png
Sophie's World,15.94,5,data/raw/images/5_star/sophie's_world.png
Private Paris (Private #10),47.61,5,data/raw/images/5_star/private_paris_(private_#10).png
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,data/raw/images/5_star/#higherselfie_wake_up_your_life._free_your_soul._.png
"We Love You, Charlie Freeman",50.27,5,"data/raw/images/5_star/we_love_you,_charlie_freeman.png"
Thirst,17.27,5,data/raw/images/5_star/thirst.png
